Category,debit,credit
"[""Transfer"", ""Payroll""]",11100,0
"[""Transfer"", ""Payroll"", ""Benefits""]",11100,0
"[""Transfer"", ""Third Party""]",11100,0
"[""Transfer"", ""Third Party"", ""Venmo""]",11100,0
"[""Transfer"", ""Third Party"", ""Square Cash""]",11100,0
"[""Transfer"", ""Third Party"", ""Square""]",11100,0
"[""Transfer"", ""Third Party"", ""PayPal""]",11100,0
"[""Transfer"", ""Third Party"", ""Dwolla""]",11100,0
"[""Transfer"", ""Third Party"", ""Coinbase""]",11100,0
"[""Transfer"", ""Third Party"", ""Chase QuickPay""]",11100,0
"[""Transfer"", ""Third Party"", ""Acorns""]",11100,0
"[""Transfer"", ""Third Party"", ""Digit""]",11100,0
"[""Transfer"", ""Third Party"", ""Betterment""]",11100,0
"[""Transfer"", ""Third Party"", ""Plaid""]",11100,0
"[""Transfer"", ""Withdrawal""]",11100,0
